"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","DELETE /users/1 → 200 deleted","chromium","Fri May 22 21:09:11 UTC 2026","passed","Fri May 22 21:09:11 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","374","POST /users → 201 creates user","chromium","Fri May 22 21:09:10 UTC 2026","passed","Fri May 22 21:09:11 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","21","DELETE /users/1 → 200 deleted","mobile","Fri May 22 21:09:24 UTC 2026","passed","Fri May 22 21:09:24 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","2141","empty username → shows required error","mobile","Fri May 22 21:09:31 UTC 2026","passed","Fri May 22 21:09:33 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","1839","get started link","chromium","Fri May 22 21:09:11 UTC 2026","passed","Fri May 22 21:09:13 UTC 2026","","example.spec.ts","",""
"","1351","has title","chromium","Fri May 22 21:09:11 UTC 2026","passed","Fri May 22 21:09:12 UTC 2026","","example.spec.ts","",""
"","374","GET /users/1 → 200 with single user","mobile","Fri May 22 21:09:23 UTC 2026","passed","Fri May 22 21:09:24 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","1586","locked out user → shows locked error","firefox","Fri May 22 21:09:21 UTC 2026","passed","Fri May 22 21:09:22 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","379","PUT /users/1 → 200 updates user","chromium","Fri May 22 21:09:10 UTC 2026","passed","Fri May 22 21:09:11 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
"","1750","valid credentials → lands on inventory page","chromium","Fri May 22 21:09:11 UTC 2026","passed","Fri May 22 21:09:13 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","3405","has title","firefox","Fri May 22 21:09:15 UTC 2026","passed","Fri May 22 21:09:18 UTC 2026","","example.spec.ts","",""
"","9350","get started link","mobile","Fri May 22 21:09:24 UTC 2026","passed","Fri May 22 21:09:33 UTC 2026","","example.spec.ts","",""
"","1620","invalid credentials → shows error banner","chromium","Fri May 22 21:09:11 UTC 2026","passed","Fri May 22 21:09:12 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","8897","has title","mobile","Fri May 22 21:09:24 UTC 2026","passed","Fri May 22 21:09:33 UTC 2026","","example.spec.ts","",""
"","6807","valid credentials → lands on inventory page","mobile","Fri May 22 21:09:24 UTC 2026","passed","Fri May 22 21:09:30 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","1148","locked out user → shows locked error","chromium","Fri May 22 21:09:13 UTC 2026","passed","Fri May 22 21:09:14 UTC 2026","Login — saucedemo.com","login.spec.ts","",""
"","393","GET /users → 200 with user list","firefox","Fri May 22 21:09:14 UTC 2026","passed","Fri May 22 21:09:15 UTC 2026","Users API — jsonplaceholder","api/users.spec.ts","",""
