"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61","GET /users/999 → 404 not found","chromium","2026-05-19","passed","2026-05-19","Users API — jsonplaceholder","api\users.spec.ts","",""
"","8695","invalid credentials → shows error banner","firefox","2026-05-19","passed","2026-05-19","Login — saucedemo.com","login.spec.ts","",""
"","4383","locked out user → shows locked error","mobile","2026-05-19","passed","2026-05-19","Login — saucedemo.com","login.spec.ts","",""
"","8358","locked out user → shows locked error","firefox","2026-05-19","passed","2026-05-19","Login — saucedemo.com","login.spec.ts","",""
"","324","GET /users/1 → 200 with single user","mobile","2026-05-19","passed","2026-05-19","Users API — jsonplaceholder","api\users.spec.ts","",""
"","506","GET /users/1 → 200 with single user","firefox","2026-05-19","passed","2026-05-19","Users API — jsonplaceholder","api\users.spec.ts","",""
"","50","GET /users/999 → 404 not found","mobile","2026-05-19","passed","2026-05-19","Users API — jsonplaceholder","api\users.spec.ts","",""
"","8244","valid credentials → lands on inventory page","firefox","2026-05-19","passed","2026-05-19","Login — saucedemo.com","login.spec.ts","",""
"","81","DELETE /users/1 → 200 deleted","chromium","2026-05-19","passed","2026-05-19","Users API — jsonplaceholder","api\users.spec.ts","",""
"","659","PUT /users/1 → 200 updates user","mobile","2026-05-19","passed","2026-05-19","Users API — jsonplaceholder","api\users.spec.ts","",""
"","403","GET /users → 200 with user list","mobile","2026-05-19","passed","2026-05-19","Users API — jsonplaceholder","api\users.spec.ts","",""
"","2159","has title","chromium","2026-05-19","passed","2026-05-19","","example.spec.ts","",""
"","4404","empty username → shows required error","firefox","2026-05-19","passed","2026-05-19","Login — saucedemo.com","login.spec.ts","",""
"","57","DELETE /users/1 → 200 deleted","firefox","2026-05-19","passed","2026-05-19","Users API — jsonplaceholder","api\users.spec.ts","",""
"","8811","get started link","mobile","2026-05-19","passed","2026-05-19","","example.spec.ts","",""
"","2207","get started link","chromium","2026-05-19","passed","2026-05-19","","example.spec.ts","",""
"","17667","get started link","firefox","2026-05-19","passed","2026-05-19","","example.spec.ts","",""
"","1285","empty username → shows required error","chromium","2026-05-19","passed","2026-05-19","Login — saucedemo.com","login.spec.ts","",""
"","35","GET /users/999 → 404 not found","firefox","2026-05-19","passed","2026-05-19","Users API — jsonplaceholder","api\users.spec.ts","",""
"","523","PUT /users/1 → 200 updates user","firefox","2026-05-19","passed","2026-05-19","Users API — jsonplaceholder","api\users.spec.ts","",""
"","195","GET /users/1 → 200 with single user","chromium","2026-05-19","passed","2026-05-19","Users API — jsonplaceholder","api\users.spec.ts","",""
"","76","DELETE /users/1 → 200 deleted","mobile","2026-05-19","passed","2026-05-19","Users API — jsonplaceholder","api\users.spec.ts","",""
"","177","POST /users → 201 creates user","firefox","2026-05-19","passed","2026-05-19","Users API — jsonplaceholder","api\users.spec.ts","",""
"","313","POST /users → 201 creates user","mobile","2026-05-19","passed","2026-05-19","Users API — jsonplaceholder","api\users.spec.ts","",""
"","5564","empty username → shows required error","mobile","2026-05-19","passed","2026-05-19","Login — saucedemo.com","login.spec.ts","",""
"","239","PUT /users/1 → 200 updates user","chromium","2026-05-19","passed","2026-05-19","Users API — jsonplaceholder","api\users.spec.ts","",""
"","236","POST /users → 201 creates user","chromium","2026-05-19","passed","2026-05-19","Users API — jsonplaceholder","api\users.spec.ts","",""
"","186","GET /users → 200 with user list","chromium","2026-05-19","passed","2026-05-19","Users API — jsonplaceholder","api\users.spec.ts","",""
"","2366","valid credentials → lands on inventory page","chromium","2026-05-19","passed","2026-05-19","Login — saucedemo.com","login.spec.ts","",""
"","2006","invalid credentials → shows error banner","chromium","2026-05-19","passed","2026-05-19","Login — saucedemo.com","login.spec.ts","",""
"","6599","has title","mobile","2026-05-19","passed","2026-05-19","","example.spec.ts","",""
"","4829","has title","firefox","2026-05-19","passed","2026-05-19","","example.spec.ts","",""
"","186","GET /users → 200 with user list","firefox","2026-05-19","passed","2026-05-19","Users API — jsonplaceholder","api\users.spec.ts","",""
"","10143","valid credentials → lands on inventory page","mobile","2026-05-19","passed","2026-05-19","Login — saucedemo.com","login.spec.ts","",""
"","1663","locked out user → shows locked error","chromium","2026-05-19","passed","2026-05-19","Login — saucedemo.com","login.spec.ts","",""
"","9238","invalid credentials → shows error banner","mobile","2026-05-19","passed","2026-05-19","Login — saucedemo.com","login.spec.ts","",""
